Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
Ultramar,4:18,Ritmos en Cruz,La Ciencia Simple,1QBzzMyJtrjIGr3NSKp1A3,5CsRl4RkZgEPOrT9rH05KE,"chilean indie, post-rock latinoamericano, shoegaze chileno",2022-10-25
Kiss You Forever,5:54,Pacific Standard Time,Poolside,5szdY7KaSi7epwyffrbV8c,0H8umic35SHzLg26lL1ld9,"indie soul, indietronica, nu disco",2012-07-09
Love for the Sake of Love - A Tom Moulton Mix,7:9,Sweet Dynamite (USA Version),Claudja Barry,2nLByDrVFGu0xpVbHcDpzy,5Ic3wpMSxKY8nrKa3x4M3G,hi-nrg,1977-01-01
Reasons,3:27,Reasons,"El Michels Affair, Bobby Oroza",0cLrgpG3pW4MX4nD8h6qCc,0YV9WgM6jaMvgy4raapcJ1,"afrobeat, funk, instrumental soul",2020-06-01
Monsters,3:46,Untitled (Black Is),SAULT,1uRxRKC7d9zwYGSRflTKDR,0GPmuVuCdC5hCsiuy1wXle,"alternative r&b, indie soul, pop soul",2020-06-19
This Feeling I Get,3:78,Casual Encounter,Doug Shorts,0Mqy0WLIhiV2g1WanUInzx,4M0rxKyC5TgzKos1FFZOTr,,2019-08-23
Agar,5:0,Agar,Cavolo Nero,5ewSUyw8Gl9p38R1uxHuJU,4997xeKpXksWmrxR0GnDoz,,2024-07-19
Streap-Tease in the Stars (The Way I Do),4:15,Psychemagik Presents Magik Cyrkles,Sirarcusa,4JmS6FBtKxZ9sQwS4Ezk4j,42NgJC6J91ndKnuxQRJQHz,,2012-10-22
Elevator Music,2:82,Year of the Newt,"Bobbing, Nay Mapalo, Marcos Mena, Forrest Rice",0hyUSoWsUbtXhzmY2JWObX,75qAoON3tKG7AMtpCQheE4,math pop,2023-10-27
Cool With It,3:75,Year of the Newt,Bobbing,0hyUSoWsUbtXhzmY2JWObX,75qAoON3tKG7AMtpCQheE4,math pop,2023-10-27
Bill,4:06,Bill,Isaac Birituro & The Rail Abandon,7FwOFjo3jeMUQtZlLnRFUw,289rZa14cFi9De5J4Qcq8x,,2021-03-30
a word aptly spoken,3:94,triumphant procession plus brand new 4tracks,Ray Barbee,2XgTFrmbSf8V98EtcQSp2n,09seeYMhHenDbsenUU5lmO,,2009-03-18
"The ""Shag-adelic"" Austin Powers Score Medley",4:82,Austin Powers: International Man of Mystery (Original Soundtrack),George S. Clinton,7yNXDeNn1rHZaEk941GcWZ,1gNLIaBr1X40wc3RyjeQ8o,,1997-04-15
Trust Me,3:69,Trust Me,Barnaby Keen,6D9DHfYu4mNuNgCe5kDnBA,0YCsUvfWmhU7Yuzc8nbJsq,musica portuguesa contemporanea,2021-05-12
Fireflies,4:86,Flying Wig,Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,1UGDY2YCY9kG8wMiafmTrm,"chamber pop, freak folk, new weird america",2023-09-22
Imma Let My Body Move,3:76,Love You Anyway,Devon Gilfillian,5cbak2U6nZWXDYiG72E3lH,3yDRYiQJHgrzUxztqO5hrG,nashville indie,2023-04-07
Giddy Up,3:02,Giddy Up,Jenny Lewis,5cMVRrisBpDkXCVG48epED,4PmXzKdrmohY9hqUenv2cl,"alternative country, chamber pop, indie pop, lilith, new americana",2023-05-10
Just Woke Up Here,2:48,Quantum Flow,Richard Houghten,1CsZ0ihKPWBDUERlQt8ekr,6AsGIEJjlRktCjKO5uc39Z,glitch beats,2022-04-20
Maak,5:29,Maak,Wah Wah Thai,1QrLDzqS8OG2v0YfmrqTS4,7Ky2HcutrZY1Wht0E2uPTX,,2021-04-02
The Pop - Dub Version,4:33,The Pop,"Daniel T., Woolfy",2KV7SeH81I26dNswIYrNeY,4G8KVuDVInQ7I8eumu93DB,,2024-09-04
Fear: Life In A Dozen Years,4:38,The Last Rotation Of Earth,BC Camplight,3cePP77CX6XY9b0aigzrqh,1kpZEHpJh4GJ5mYxzaP8WR,"chamber psych, new jersey indie, one-person band, psychedelic pop",2023-05-12
AMAMA,3:17,AMAMA,Crumb,4kSGbjWGxTchKpIxXPJv0B,6V4aP2jvCLc1McVX6HPmdo,neo-psychedelic,2024-05-17
drifting,3:54,drifting,Night Tapes,5APEQlUaQ5K70LgPqAdTuU,4KJfSAhzqcMZaWFTwnfkNK,"chill dream pop, modern dream pop",2023-12-01
Le départ,1:99,Odyssée - EP,L'Impératrice,4PwlsrN0t5mLN0C827cbEU,346ZDnGgJudDau17EEyWWA,"french indie pop, french indietronica, french synthpop",2015-10-12
Fish on the Sand,3:63,Fish on the Sand,Allah-Las,2yDodJUwXfdHzg4crwslUp,7GtTocaZkDRoBC90AmwRar,"indie surf, neo-psychedelic, noise pop",2017-09-27
Truth,4:26,Earthsong of Silence,Wax Machine,6kZ2grSzDSRhZuB4iiw77G,1GZ4qNU2kexKM1oCpFvrAp,indie psychedelic rock,2020-03-20
