Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
In Another Life - Edit,5:86,In Another Life (Edit),Sandro Perri,2CbeYAeoh6tWJhlJU3fI9c,5ehTXNrZUlDy0NyBwCLojo,,2018-07-18
Nobody,3:54,Here Comes The Cowboy,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,67PsnkYVPNpEsZffyTWGgW,"edmonton indie, lo-fi indie, pov: indie, slacker rock",2019-05-10
Almost Went Too Far,6:42,Starting Today (feat. Asheber),Joe Armon-Jones,5mUcc8OOP4RuzrupeGYwW5,0g0RMrnnmblypjAn0B8cYe,"broken beat, indie jazz, indie soul, uk contemporary jazz",2018-05-04
Something More,6:11,Walk Dance Talk Sing,Crazy P,6jOz2B9qeID4dLP1o8bFGf,3zzkk0n26DWgqVuQkefg0J,"deep house, electronica, indie soul, nu disco",2015-05-11
Preoccupied,3:33,Ep2,Slow Pulp,2JFTRDi5v7JtqoouVe1z5D,5Niw7HV5rZlm343ausiPRB,"bubblegrunge, chicago indie, countrygaze, midwest shoegaze, nu gaze",2017-03-09
0181 000 0010,3:7,0181,00110100 01010100,5ZzXaAuivVXuQaHCaRuxlD,66FNxlIEDo28zeNIJJ50nG,experimental electronic,2017-08-18
People Move Along,3:56,Cosmic Blip,Pipe-eye,0Sh9OyckiAu6tBP2yiN6wf,7JOn4wb22F3P6hFgEDxHj1,"australian psych, neo-psychedelic",2015-09-25
Desert Bloom II,3:5,Big Seven,Próxima Parada,43cM1JWUzdfkZCi7rjkPnz,2gelcBoA4o3UfeYAXRPGlo,deep new americana,2017-02-24
Wanna Be Your Lover,2:64,Wanna Be Your Lover,Mtbrd,6vXJ4kIg2HlqsSfX3S1RHV,3o05Dz4GECCq1SD8InLWoH,chillhop,2019-03-29
Over Here,4:75,Over Here,Mostly Sonny,6R8Zc9f6T9PsQig1gDKApF,1qgB3ylGr6mXCaO60KQiec,,2019-08-21
Shadowshow,5:71,Air Con Eden,Jerkcurb,2We7vKruiEweV984BdrxGA,0ZGJ6N2TbWJwUKHTBLxK7H,,2019-09-13
don't let it stress,3:55,civilization,Sweeps,1ZqVxe4j6KEwGA1WyJkw8t,1OFj4iI8KeiYaLtreDENp9,,2018-07-16
High on Your Love,4:23,The Outsiders Are Back,Kings Go Forth,2TtCm6pJEbuTVt7dTEaPEB,2lHYHGF4qrvsKmaq3rgMNO,deep funk,2010-01-01
I Am The Changer,6:58,Paranoid Cocoon,Cotton Jones,6RHDASo3OVNiNY2nrGx3qc,2oASnIn2Mt8QE4tDmSyWpy,"baroque pop, countrygaze",2009-01-27
Some Strange Rain,4:05,Paranoid Cocoon,Cotton Jones,6RHDASo3OVNiNY2nrGx3qc,2oASnIn2Mt8QE4tDmSyWpy,"baroque pop, countrygaze",2009-01-27
Preoccupied,3:99,Here Comes The Cowboy,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,67PsnkYVPNpEsZffyTWGgW,"edmonton indie, lo-fi indie, pov: indie, slacker rock",2019-05-10
Now U Got Me Hooked,5:85,2012 - 2017,Against All Logic,0ngUeF0DGpYmPec80MqSi1,1uzfGk9vxMXfaZ2avqwxod,"electronica, experimental hip hop, experimental pop",2018-02-17
Je pense à toi,5:28,Je pense à toi,Amadou & Mariam,3KH7WsR2JZQ94Ik8SyabU6,6la9d8PC11D73ETXHfYLZ9,"afropop, malian blues, mande pop, world",2005-01-01
So We Won't Forget,4:97,So We Won't Forget,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,6AixWA1IbGyb70exJJKUUa,"indie soul, neo-psychedelic, world",2020-05-18
In The Morning,3:68,Photosynthesis,The Breathing Effect,4sfL701NAogwKc7mBMWNsy,5lcp4BDSjXO691mkDGsMGW,psychedelic jazz fusion,2020-03-27
Pups to Dust,3:51,Strangers to Ourselves,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,6iKqPv9C5oU29LR82N8lJf,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie",2015-03-13
Redneph In B Minor,2:81,The Midnight Hour,"The Midnight Hour, Adrian Younge, Ali Shaheed Muhammad, Linear Labs",1S5jf5XWhQTMjGZQxCH0AJ,7L6WpYDqNtg04YwApq6TgO,,2018-06-08
Little Brown Dog,2:65,Mo Kolours,Mo Kolours,7o9hTqdhcddND3te69BBsk,15seClV2IRmKITKzHaQIFa,"indie jazz, wonky",2014-03-24
Favourite One,4:02,In a Small Place,Sillyboy's Ghost Relatives,0ukI6HB2UZUmHHlJ8bQHu7,0K4zGTkreyCLHZWdUSouoI,,2019-09-27
Why (feat. Nate Salman),4:06,Michael,"Les Sins, Nate Salman",4gSTRpmeyYppvIXuFKjfAL,16PFsm0wvfvsv2pEE6eies,chillwave,2014-11-03
Better Than Words,3:82,In a Small Place,Sillyboy's Ghost Relatives,0ukI6HB2UZUmHHlJ8bQHu7,0K4zGTkreyCLHZWdUSouoI,,2019-09-27
Inspector Norse,6:68,It's the Arps,Todd Terje,49gaZqfow2v8EEQmjGyEIw,68zh8sbZPMeJb7GnqomRJS,"balearic, electronica, filter house, indietronica, norwegian space disco, nu disco",2012-01-09
"Planes, Boats and Trains",1:6,Bruton BRH6: Voices in Harmony,Andrew Jackman,3FmPzdYKLHjE6gHIdghfhL,3UsjRBVhsLR097B4cNbAwn,,1979-11-23
Back of the Room,4:79,Blackberry Light,Charlie Mars,6opelqBLUDZCLeuRCjt6AL,4BiPU2ztbJIKrFhZSxfVgb,,2012-12-04
Laughter,3:53,Hue,"Astrocolor, Wendy Rene",4OvLy4oD9IFQ8YCbbMDVRD,7ukqsmRne7BRoKKMnxrYI8,victoria bc indie,2020-05-08
Lunch Break,3:49,Mood Swings,Maddie Jay,0eelrX0AcylGwVNf1HW77h,5lMpb6ukTfegIC2A7xfvPo,la pop,2020-04-29
Green,3:81,Green,Robohands,5qRtt9DQNy64ig66kCWFjX,2PVqtcY0gjunIwpcoJpjuZ,"indie jazz, uk contemporary jazz",2018-05-23
Cheap Whiskey 70's Riesling (feat. Anderson .Paak),3:49,The Anderson .Paak EP,"Blended Babies, Anderson .Paak",1hFXEoLCso0TI0QvWJdukg,1R1U1jFetkBOwuVxZgyocL,,2015-09-25
Lead Me Home,3:93,A River's Invitation,The California Honeydrops,21t0aavYGSGFkYYFhu6urk,6oGFUErSaMw5kXdcYCQ3gL,bay area indie,2015-09-11
Mumbo Sugar,3:14,Libertalia,Arc De Soleil,2iLMJdaqsQ44X7MPRD7rR5,3ac70sG0O5BnprAWb4dOTA,,2020-05-01
Peace To All Freaks,4:75,Peace To All Freaks,of Montreal,5xeBMeW0YzWIXSVzAxhM8O,5p6pDA56P4lckg4lXp6I3m,"art pop, baroque pop, dance-punk, elephant 6, indie rock, lo-fi, noise pop",2019-11-14
Daydreaming,3:3,Daydreaming,"Milky Chance, Tash Sultana",1hzfo8twXdOegF3xireCYs,30kvONotzSeqLplcsaa1SH,"german pop, modern rock",2019-08-23
Brimful of Asha,5:28,When I Was Born For The 7th Time (Expanded),Cornershop,3Kf7VEIRWquxrNIuyJZnfF,73LY6QtbR0xA3l5RUBXxjf,britpop,1997
Work from Home,3:63,In Glendale,Tim Heidecker,7n5xb6bByE74Aw4ppe858H,6TgYjKrU0mQEgt6aZENgur,,2016-05-20
Look At What the Light Did Now,3:36,"Gentlewoman, Ruby Man","Flo Morrissey, Matthew E. White",3qM2kgxt87sXgP2ytxZZv2,4F0zRJTpOsSvHQdtqdw6h5,"british singer-songwriter, rva indie",2017-01-13
Next Year People,3:33,Basic Man,Barcelona,3mKqIEF3Coa2rNT4ojEh8Q,5lSOuwNnlgyDUmXcnu7qut,,2016-10-14
How I Roll,3:39,Blackberry Light,Charlie Mars,6opelqBLUDZCLeuRCjt6AL,4BiPU2ztbJIKrFhZSxfVgb,,2012-12-04
Maria También,3:18,Con Todo El Mundo,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,42j41uUwuHZT3bnedq2XtM,"indie soul, neo-psychedelic, world",2018-01-26
Past Lives,4:57,Dopamine,BØRNS,1KP6TWI40m7p3QBTU6u2xo,17l7MIu0Jh0tdgK7or9ovw,"indie poptimism, modern alternative rock, modern rock, pov: indie",2015-10-16
She Plays Bass,3:45,She Plays Bass,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,6aSy1zAuCiFQxUFITf3ymw,"bedroom pop, bubblegrunge, indie pop, pov: indie",2019-08-20
Goodie Bag,2:44,Goodie Bag,Still Woozy,4iMO20EPodreIaEl8qW66y,0y8sikccXZ3TIW4PkjtI8R,"bedroom pop, oakland indie, pov: indie",2017-11-05
Candied Daylight,5:25,Candied Daylight,Jennah Bell,18ciiyT6KksD2BxSO4I9J6,3ic2KFLNG9dDhnc7SOYdj1,,2015-09-28
Lying Low,3:93,Metronomy Forever,Metronomy,54QMjE4toDfiCryzYWCpXX,7IzNAyOsxeWhKPyNNz1urS,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk",2019-09-13
Sexyland,3:3,Channel Four,Crepes,12yjnt2kvKe5RpkvcUd4fh,4TVNPUXjEMlDIy0WdamiWl,,2017-10-20
Brace Yourself,3:58,Brace Yourself,White Cliffs,4zsCw7u83qsLLbUhbsnsci,6GzloL4eqOE9Lv5xUIuJEQ,,2020-03-27
Honey,4:47,Raw Honey,"Drugdealer, Weyes Blood",0tMnuEXTeJeHbslcV8OybJ,42bKdrgC3t3F67r9K6kQ9r,"indie garage rock, neo-psychedelic, psychedelic pop",2019-04-19
Blue Magnolia,4:75,Blue Magnolia,"Electrophunck, David Ramirez",0FITjSBpbXaeu321GnlleJ,6KUm3xdUClptVoxMHl9mIH,,2019-03-18
Ghosts of the Forest,4:97,Ghosts of the Forest,Trey Anastasio,3Felk6Y6jjU00yE1XTOqKZ,0mSKexgyuuv2drZT1mMg8b,jam band,2019-04-12
Whitsand Bay,3:84,Metronomy Forever,Metronomy,54QMjE4toDfiCryzYWCpXX,7IzNAyOsxeWhKPyNNz1urS,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk",2019-09-13
Si O No,4:53,Polymood,L'éclair,7iKleRyjLc8sVDN551vyiX,3uOb8o2tobrAOYJbedUhU7,"neo-psychedelic, swiss alternative rock",2018-09-07
Make It Better - Instrumental,3:64,Ventura (Instrumentals),Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,4a6u9TUkH1MW2zZkFUYlV0,"escape room, hip hop, indie soul, neo soul",2019-04-12
Can of Worms,6:85,The Glow,Gold Celeste,0k7JGk03ntbFvfURT2hWmu,3Y7KqU1su7HNrU8nujEYWk,"indie garage rock, neo-psychedelic, norwegian psychedelic",2015-09-11
Casa De Mel,4:36,Casa De Mel,Brad Goodall,4vg7A2DB0Sf9m721V2zqRA,43rMDghhGW2JA9OXi1TtJu,west virginia indie,2017-03-19
BUD,3:94,BEAT MUSIC! BEAT MUSIC! BEAT MUSIC!,Mark Guiliana,798TUNb6IfpsZzMkkzVGu1,0Upt2UNa1p8yJOmjlFHRGQ,"contemporary jazz, jazztronica",2019-04-05
We Will Not Make It (Not Without You),6:47,Sweet '17 Singles,Twin Peaks,1xD85sp0kecIVuMwUHShxs,27kop3lqGhtX1fQsBc0lty,"chicago indie, indie garage rock, modern power pop",2018-02-09
"Changes, Pts. 1 & 2",6:5,Changes,Neal Francis,2e5y5Gs5lgnDmiY4TKLsq3,6nVbEZ2KiU54mA2ZAKwR9T,pop soul,2019-09-20
Tropical Suite Sao Paulo,2:12,Tropical Suite,Poni Hoax,7Dl9ZgaSmEt7a8aWMlAHXD,4eNeEO6qe5CwVweMI46oaL,"electrofox, french indie pop, french indietronica, rock independant francais",2017-02-03
"Blue Sky, Red Demon",4:35,Phonograph of Waves,JITZUWA FINDER,7zrgFUGJ24iFpGHk9pwkJg,5rviXSvGrato10IcAn19G0,,2019-10-16
Settle Down,3:85,Dad's Old Tapes,North Downs,7ad12h2GvO4VT7ciRTzeo1,4BoSWnO2CVQenTBM6MOIs7,uk alternative pop,2019-12-05
I Fold You - Kassian Remix,6:46,I Fold You (Kassian Remix),"Elder Island, Kassian",3EnbnmqrrvApHJs6FMvYik,4QiLKvYTGkOsj361PTZnuR,indie soul,2020-05-08
i ain't scared of no devil,4:58,selftitled,"Jitwam, dj godfrey ho",3yg8VEfEzpr8T9NkiEsycS,5XcBuuKBo62obmXkfOqpjJ,"indie jazz, indie soul, lo-fi house",2017-11-03
In a Small Place,3:35,In a Small Place,Sillyboy's Ghost Relatives,0ukI6HB2UZUmHHlJ8bQHu7,0K4zGTkreyCLHZWdUSouoI,,2019-09-27
Back from the hospital,2:65,Candlelight,Hot Sugar,5doDInHCvRMOOapyaos2AE,7D3x9hPebNhXtzpeRZn0ah,downtempo bass,2020-04-27
Masterpiece (Mixed),4:77,All Back To: Jungle (DJ Mix),SAULT,1uRxRKC7d9zwYGSRflTKDR,4DWCaTocU4CkvQt6wu3l78,"alternative r&b, indie soul, pop soul",2019-10-18
The Dirty,3:6,Famous Last Words,True Loves,1IlKHxSbOJDx10sotxhk4Z,4SMup5GbFu0WRu7LUm7s6T,instrumental funk,2017-07-14
Permission Slip,3:5,Permission Slip,Mainland,1glS4fPaSC5EgMTnOsiXif,7LCWfQDbxUl1RSYTn8fXaP,"brooklyn indie, hopebeat",2016-10-21
Outer Space,5:26,Window Flowers,"Liz Cooper, The Stampede",58irgKwXTjCCuYQB58aXeH,799tX7gorQNl08X2e6Bdt8,deep new americana,2018-08-10
Seventeen,3:78,Seventeen,Sjowgren,32Ko3nL0210QAt14S3Rs4Y,3QfvzIBsZ2zbYWsNp7StMw,"indie pop, indie poptimism",2015-06-11
All Night,4:9,Love Songs: Part Two,Romare,6d1HqiWNEKV9zFqQM9WeYo,324LXtvXAeKBeDIN1NkGuG,"electronica, future garage, indie soul",2016-11-11
Hello Girl,2:49,4 Dilla Vol. 1-4,Cookin Soul,06s35sbFfZJUEwFjAaZfiW,0xcMQ20tnSVRCFRZkAXK80,boom bap espanol,2020-02-19
Boogie,5:8,RAS II,RAS,5quzk8QzHrBaPWz4JH15cj,6GJ3n96Nj0u2E6YhAngJko,,2020-03-13
Soon Never Comes,4:14,Exotic Worlds and Masterful Treasures,Stimulator Jones,7uuvPwRD3I1UHDPNnbaY6C,07UlPMyJylAg1GiWhKGZfk,synth funk,2018-04-27
Girls,4:38,Bloom Lagoon,Kainalu,7s21yzsQI5NDymc5KNHkXc,3VdxfdoXabzZb6drRAMZg2,wisconsin indie,2017-06-20
Kamikaze Mushroom Palace,4:53,Lotus Gate,Kainalu,7s21yzsQI5NDymc5KNHkXc,6vUPymobm3XqIAZk2HDVZs,wisconsin indie,2019-06-18
Shiroi,3:76,Shiroi,Mansur Brown,1ky3oGuE5XOsOzqiFEGwqR,4fL2WmOafyMnGU9i7svCLy,"afrofuturism, british jazz",2018-09-28
Restless Too,4:66,Restless Too,BoomBox,3UBLa2huRORV0HmGQq3fGs,6n5kP1FA46RmbwNk1THeo3,jam band,2018-01-25
Period,3:09,Period,infinite bisous,7w5cbnOLouZ5bGFvwIF5Ff,1fTkrEKjNo6wPkbkSTLBXw,,2019-03-11
Cherchez La Ghost,2:67,Cherchez La Ghost,Orions Belte,3Kzo2BzQIPQW0397gx9rRp,4l6mo8u2lynSTTZlNlJETV,"bergen indie, neo-psychedelic",2019-06-28
Salut,5:32,Stylo,Toubab Krewe,1jeEITLt57dM6g3JjToUmN,3Wh27HeZk6wikr1F4rvnpr,"instrumental rock, jam band",2018-03-02
Liftoff,2:22,sunking,sunking,3P5WQ1fr1bhAZczPRUf4HX,0OhFm8glPTMUzCXgVY6GRO,,2019-02-05
Rainier // Tallboy,1:94,sunking,sunking,3P5WQ1fr1bhAZczPRUf4HX,0OhFm8glPTMUzCXgVY6GRO,,2019-02-05
Boys,2:76,"Boys, B-sides & Rarities",Spang Sisters,55LV0taR11yxOICTZORibT,2QkVevSYcUVc4jzHDtCrd9,,2019-03-15
Right Side of the Bed,4:2,The Odd Tape,Oddisee,72tRiBHei5G9M8it4h4sfC,2JHe5hyBf0wWDfb1T0iwyg,"alternative hip hop, instrumental hip hop, sudanese pop",2016-05-13
Still Sleeping,6:75,The Odd Tape,Oddisee,72tRiBHei5G9M8it4h4sfC,2JHe5hyBf0wWDfb1T0iwyg,"alternative hip hop, instrumental hip hop, sudanese pop",2016-05-13
Grave Flowers,2:23,Self Assessment - EP,glue70,3AsWxxZTFPoCFxM1s8Lg1J,2lkOTRtlr2uLfGI9eESfM2,future funk,2017-05-21
Higher Now,5:49,Drakkar Nowhere,Drakkar Nowhere,74OIKPjL51NNNrNWBFM4J0,2m4vBbjptYd5BOPFj6WyiT,neo-psychedelic,2016-09-23
The Day That's Just Begun,3:46,Wooh Dang,Daniel Norgren,6swk8GFDoEZ1cFDX70xyuO,4baa3THO8wKLMrASaem2Ri,"swedish americana, swedish singer-songwriter",2019-04-19
Gap in the Clouds,4:67,Harmless Melodies,Yellow Days,3dv4Q4q3LWOnbLJnC6GgTY,5CPwacWmIAaA5DLUq7EHUC,bedroom pop,2016-11-18
Let Go,3:01,In Real Time,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV,0i5JZDenr4uUCXW2hO3pPJ,modern indie pop,2018-03-01
All I Want Is U,6:07,Onion,Chase Ceglie,7mUgXAhW0NrIYhwsxhkCEn,5y5VgtkPoiqkUhS8rKWCcc,,2016-09-02
Wading Out,3:69,Wading Out / Shell Island,Favourite People,2cIiivDGTDkt9aQVeJYCAt,6Fd1qlkC7Rj9Na2J9BfOiT,,2020-03-27
"Another Rise, Another Fall",5:19,All Possible Futures,Miami Horror,0Z5pcmXDCKTrFWLnDChC37,1OVZU7svPG5TIz2I6c0tx5,"alternative dance, australian dance, australian electropop, electroclash, filter house, indietronica, neo-synthpop, nu disco",2015-04-15
Come Down,2:83,Malibu,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,4VFG1DOuTeDMBjBLZT7hCK,"escape room, hip hop, indie soul, neo soul",2016-01-15
Storm's Coming (feat. Roman MC),5:79,Sunrise and Set,"Desmond Cheese, Roman MC",4fpbUiU0gUoOO2S3JGRbXA,0u6rVXOxmgv9wAl1tTJfeT,australian reggae fusion,2019-12-06
Ruano,3:74,Some Plays,Fonso,7F0EJprm2nfF3OmKCa4Ox4,2rSuALvi59M9O2Md583U6g,"argentine alternative rock, argentine indie",2017-10-06
Future Games,8:32,Future Games,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,0mrtsupVI772qJdmW17yP0,"album rock, classic rock, rock, soft rock, yacht rock",1971-09-03
Real Slow (feat. Sarah Chernoff),4:78,All Possible Futures,"Miami Horror, Sarah Chernoff",0Z5pcmXDCKTrFWLnDChC37,7iWI0ecSGNNUbVKzyyElgg,"alternative dance, australian dance, australian electropop, electroclash, filter house, indietronica, neo-synthpop, nu disco",2015-04-21
King Prawn the 1st,2:61,"Boys, B-sides & Rarities",Spang Sisters,55LV0taR11yxOICTZORibT,2QkVevSYcUVc4jzHDtCrd9,,2019-03-15
SOBER,3:67,SOBER,daste.,5uXWOfu1kA8mQ9bUp5GgxT,793vDlLwU5kzjQsXwRCYyd,,2019-01-16
Himalayan,5:37,Mountain of Memory,Emancipator,6HCnsY0Rxi3cg53xreoAIm,5hPK6o2LgrqBqnk6Lz4QXj,"downtempo, livetronica, trip hop",2020-04-03
Be a Man,3:0,Be a Man,Sacha Rudy,5oq46vINX6yvYPAUaAf25x,5A1bqO0BLiskZONJ4qdnss,,2019-12-05
Climbing a Wall,3:65,Floral EP,Floral,1FVOt1XlpnaCueBolWF92k,4oH7pwltJtcV5Kg9hdb6Kr,"instrumental math rock, math rock",2014-09-01
Homage,2:96,Skiptracing,Mild High Club,5J81VungUjSVHxlPpTI9KG,1qMDN9zRQreK81cJ9G1hed,"indie garage rock, neo-psychedelic",2016-08-26
Cities,4:78,Tokorats,Jonti,5BqS3Mo4CEcpM6Yp0x9ogT,0ZKTm7w1MQYKvSS0JnYDsu,,2017-11-03
Avocado Moon,7:6,Avocado Galaxy,World Champion,4kK9XiFmS6rlzCFIY5DzI9,4QbaBWKqXwdaezxWIIVGUF,australian alternative pop,2015-12-04
Tip Pit,3:8,Avocado Galaxy,World Champion,4kK9XiFmS6rlzCFIY5DzI9,4QbaBWKqXwdaezxWIIVGUF,australian alternative pop,2015-12-04
Sleeping and Falling,5:89,Tokorats,Jonti,5BqS3Mo4CEcpM6Yp0x9ogT,0ZKTm7w1MQYKvSS0JnYDsu,,2017-11-03
Really Something,3:65,Untitled '91,Hector Gachan,7JWTyY1F2DGO4WphbQo2yM,17YZ462PRpLKH87XkxSZGu,bedroom pop,2017-12-01
Most Events Aren't Planned,7:72,Vida Blue,Vida Blue,6YGNbQtGj4Og4JFTyuPY74,09Y4Nff00NZfoGUwYxdZ56,jam band,2002-06-25
Enough,3:89,Mixtape One - EP,Bad Sounds,0hSgRl2U8kSaJLE2Di325f,5iiPTZBQw2EYebIjJ8iSKc,"english indie rock, funktronica",2017-09-29
BREEZIN',5:83,オン・ギター,Masayoshi Takanaka,2Ex4vjQ6mSh5woTlDWto6d,20ku6CzcC5hFmNxoCaOzzJ,classic japanese jazz,1994-06-25
Key to Love (Is Understanding),3:93,Key to Love (Is Understanding),Majestics,4TawsE40Mpv3OXyoW5ZmsP,0UyNc1FaDzkzcBlLsDASJA,,2019-12-06
Inside Friend (feat. John Mayer),2:92,Inside Friend (feat. John Mayer),"Leon Bridges, John Mayer",3qnGvpP8Yth1AqSBMqON5x,2zYmSJZxBTCvDYBAEcixyV,"indie folk, modern blues, neo mellow, neo soul, soul",2020-04-10
Blue Dream,3:18,Mountain of Memory,Emancipator,6HCnsY0Rxi3cg53xreoAIm,5hPK6o2LgrqBqnk6Lz4QXj,"downtempo, livetronica, trip hop",2020-04-03
Cosmic Echoes,5:11,Melodies,Lord Echo,4SkLPRjzPXh6d5n32Vypy5,321yVLOxEIaALmZVvVxYzD,"indie soul, nz reggae",2010-12-06
Leaving the Tetons,5:58,Nature & Design,Mark Preston,64mJPfKjDJqEcrc1fRJH9j,6D6xz53TceI61ZebcMtmSo,,2010-09-01
Piece of Mind,9:36,Power Of Soul,Idris Muhammad,6ghiUK2ao3KcmmDt2pbNzN,4blKLLF57DrHhUyxtaziZX,"jazz funk, new orleans funk, soul jazz",1974
Could Heaven Ever Be Like This,8:61,Turn This Mutha Out,Idris Muhammad,6ghiUK2ao3KcmmDt2pbNzN,4PznnWq19AwatCG4lsyb5I,"jazz funk, new orleans funk, soul jazz",1977
Crap Apple,5:18,Turn This Mutha Out,Idris Muhammad,6ghiUK2ao3KcmmDt2pbNzN,4PznnWq19AwatCG4lsyb5I,"jazz funk, new orleans funk, soul jazz",1977
"Running Away (feat. Joey Dosik, David T. Walker & James Gadson)",4:54,Mr Finish Line,"Vulfpeck, Joey Dosik, David T. Walker, James Gadson",7pXu47GoqSYRajmBCjxdD6,631tfYWQsACU5Kmk8dpqli,"ann arbor indie, funk rock, instrumental funk",2017-11-07
My Love,3:46,The Tribes Of Palos Verdes (Original Motion Picture Soundtrack),Bahamas,4C50EbCS11M0VbGyH3OfLt,0jSOvNSzD7IV7QRzdZJWJr,"canadian indie, indie folk, stomp and holler",2017-12-08
Familiar Ways,4:6,Bitter Winter / Familiar Ways,ALASKALASKA,78CgVNlDQMvOVDIrRL84tJ,0JUCGDiWazjfWSErIukmPg,london indie,2017-05-22
My Sentiment,4:41,Universal Togetherness Band,Universal Togetherness Band,0mq8nei4ndPkb0uWkqx12k,6zoUkhMlcPMEsvd7sPSfue,deep funk,2015-01-20
Astral Man,5:58,The Nude Party,The Nude Party,5BxtbtwwHXC3HA5kAn06sK,7eL0YCyfl9aaNuzt3gn23Q,"neo-psychedelic, north carolina indie",2018-07-06
Returning,4:55,Rejuvenate,Paul White,5agXR9PXcQ3whCRLu8LeeN,5T8bq8zws5e099JYI0hJYK,wonky,2018-04-27
2009,5:42,Good Mmornin,Rayland Baxter,251UrhgNbMr15NLzQ2KyKq,49V7WkyUmdTmAUeKvOCH4b,"indie folk, new americana, stomp and holler",2019-07-26
Epiphany,4:97,Extras In A Movie,Papadosio,22nCgEikczPLtGfDdpRroh,0YYkzHlRyj5nfPtmjxf1UI,"jam band, livetronica",2015-10-02
Le jardin,3:46,Le jardin,Mcbaise,1bHp6iVI7Jit4RCKtic0YO,4mtgUS33gcTwUWNcHaYHFQ,,2017-06-23
At the Love Camp,5:93,Seabass,Mcbaise,1bHp6iVI7Jit4RCKtic0YO,3711ECCEPNfciP7J3jkX4C,,2014-06-25
King's Rant,3:95,King's Rant,Masego,3ycxRkcZ67ALN3GQJ57Vig,1zVaLG9dUc4DqRlWXNHGwN,"alternative r&b, indie soul",2020-03-16
Star Stuff,4:12,Star Stuff,Chaz Bundick Meets The Mattson 2,2ZM47IuC500uguN3EKyRY4,6vP977nYbFtk2USpedKvba,neo-psychedelic,2017-03-31
I Can't Move,3:25,EGOLI,"Africa Express, Sibot, Mr Jukes, Moonchild Sanelly, Damon Albarn, Blue May",0FvSMtCS6UPO4dfsvFT4Vm,2c7B7bFNWRMSubpagKaB7K,world fusion,2019-07-12
Morals,3:23,EGOLI,"Africa Express, Mr Jukes, Muzi, Mahotella Queens, Moonchild Sanelly",0FvSMtCS6UPO4dfsvFT4Vm,2c7B7bFNWRMSubpagKaB7K,world fusion,2019-07-12
The Bus to Nowhere.,4:83,The Bus to Nowhere.,Marcoca,4gGuwY7KzJNNyA0JMlMvt4,0MjOaMQcRi0u2ByvfYSvqs,,2019-12-20
Laa La Laaa,2:61,Bae 5,"Yung Bae, Flamingosis",30FDJPN3RtwJZ20g5YGCRX,6UJAG0MN18jejyZTf4oDQj,future funk,2019-06-28
Ghana,4:92,D.A.N.,D.A.N.,1pnciyHx1BO7b1EqyatTrx,0gVBrSHwg9ebQvz8WQ1LEx,"j-indie, japanese alternative pop, japanese alternative rock",2016-04-20
Feeling Free,4:64,Twister,LEISURE,7b04D0yLktCUpvxQBhmG7R,1orHZz3MF65O74ulKq7Tmw,"auckland indie, indie soul",2019-07-26
Glide,3:96,Glide,Peach Tree Rascals,0imE3buPhAowREqCrr4CYe,45YewXcH2MOEmkUlQSbWe8,pov: indie,2018-05-20
Ensueño,4:17,Godtet,GODTET,09OgHVPSgCgflZLrGScfE9,5IEhOa9sZC7jyq9Vse747Y,,2017-10-27
Simonal,3:79,Simonal,"K.A.A.N., FloFilz, Blu, Damu The Fudgemunk",6WSTevYt4rGwm8QPKQr7dU,7A5S5alm3uZBCT2tTb21dt,"deep underground hip hop, indie pop rap",2020-03-27
Blue,4:77,Photosynthesis,The Breathing Effect,4sfL701NAogwKc7mBMWNsy,5lcp4BDSjXO691mkDGsMGW,psychedelic jazz fusion,2020-03-27
One More Song,4:33,One More Song,"Classixx, Roosevelt",0vUTfcBDZZo2OUQJci5UNZ,77gGXbQJuxgazuUSXFl9rn,"alternative dance, electrofox, filter house, funktronica, indietronica, nu disco",2020-03-25
Maybe Tomorrow,4:9,Maybe Tomorrow / Lovin' You,Vanilla,7pnSUizGuS2tAW2yCAhafn,6PphIAWGHJgeWj5jcAv3cD,chillhop,2020-03-25
Kyiv,3:5,Kyiv,"Tom Misch, Yussef Dayes",1uiEZYehlNivdK3iQyAbye,3lsbLyfaGRdwKX3EROHyoV,"indie soul, jazz pop",2020-03-25
Where You Belong,3:45,"New Me, Same Us",Little Dragon,6Tyzp9KzpiZ04DABQoedps,3PuofR78j1BFBGBrNCCYUF,"art pop, chillwave, downtempo, electronica, gothenburg indie, indie soul, indietronica, neo-synthpop, swedish electropop, swedish synthpop, trip hop",2020-03-27
