Song Name,Duration,Album,Artists,Artist_id,Album_id
How I Love,4:61,Hasta El Cielo (Con Todo El Mundo In Dub),Khruangbin,2mVVjNmdjXZZDvhgQWiakk,2T06RHWicMtCA5UdHXrg4K
Texas Sun,4:21,Texas Sun,"Khruangbin, Leon Bridges",2mVVjNmdjXZZDvhgQWiakk,3woYZI2bFXEh5nR8KfltJ1
"I Love You, Honeybear",4:65,"I Love You, Honeybear",Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,2A8IKX257C4hJaYUHMhLP7
Chateau Lobby #4 (in C for Two Virgins),2:85,"I Love You, Honeybear",Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,2A8IKX257C4hJaYUHMhLP7
True Affection,3:94,"I Love You, Honeybear",Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,2A8IKX257C4hJaYUHMhLP7
What We Do,2:64,What We Do,Stoop Kids,1Rxe2OboMb1Bx2n49182AJ,3g5PoDUrFStGpEfYPZO6cL
What's It Like?,3:25,What's It Like?,Sure Sure,1anAI9P9iSzc9qzLv6AtHZ,5LJzP85Zn7B2IAt7zhLImG
Oh! Frenchy,3:94,Oh! Frenchy,Mosie,6HGNvZKlT5TO7y4aJbDHql,0t8IgvFBCFbQzlXirCgtvh
Mountain Man,3:97,Window Flowers,"Liz Cooper, The Stampede",58irgKwXTjCCuYQB58aXeH,799tX7gorQNl08X2e6Bdt8
big fat mouth,3:65,Wait,Arlie,6Bllzm0olEwqGwPujaLiuA,7owO1ECjA53Isw9LiIcXKZ
Gunslingers,3:29,Modern Animal,Magic City Hippies,1ikg4sypcURm8Vy5GP68xb,6y5roSQsSbhNcVfIkhF7wL
Blood,4:17,Blood,ANIMA!,3xbmS6qcRWTyILBoaqAPT4,7rtTckrq1HvtEmEfIPH3Ug
"Regards,",2:57,What a World,Stoop Kids,1Rxe2OboMb1Bx2n49182AJ,4yHkdyzV9hhlLHnDhfzjE5
Friction,5:37,Toothpick,Kai Straw,1zXCFUgH6FWS0iCiCKsH55,6ZGFBfwZXKycEtDy5uyuSK
Somebody to Love,4:17,Marbled,Abhi The Nomad,1gUi2utSbJLNPddYENJAp4,4UdZHRBCIoe7XCPr8KdVg7
Della Reese at the Movies,3:65,Bag O' Junk,Michael Seyer,7K4cef9h3NvU7Xb3BH7Ade,3jkUfRL0JtaCJOol1XqAIi
All I Care About,3:55,Anyone,Swim Mountain,0k03iT1wmiddzXpZD2spn7,5j8HiETjay7qfnZ8yqXxmw
Easy Money,4:55,Easy Money,Westerman,09s6bLEw45wioK9ytf3nsA,0aObp8KVWbKSTnd10hesfZ
Tokorats,5:09,Tokorats,Jonti,5BqS3Mo4CEcpM6Yp0x9ogT,0ZKTm7w1MQYKvSS0JnYDsu
Different Now,3:81,I Used to Spend So Much Time Alone,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,46g4HUusr4kHhybngi1deB
Age of Consent,6:0,Age of Consent,Justice Der,2N79L5eT2Xraec4UJsi2Fz,4BelXp6iucUHIOnEX8fQHo
Easy,3:45,Weather,Tycho,5oOhM2DFWab8XhSdQiITry,1mRyfDR7Dc55GbC8V3kVis
MONKS,3:77,BIRDS DON'T FLY,KUNZITE,3rMDCvvekRMD0WON14PwqO,1CBLxjW6wcV3gUDDHLNlsj
Hollywood Forever Cemetery Sings,3:18,Fear Fun,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,1BOfOlZo9Nzx7SmYAucY9t
Mercury in Retrograde,4:53,SOUND & FURY,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,2ITJBRqMwZ0luWBnnZQ4Hq
Lifeguard of a Helpless Body,4:25,Monobody,Monobody,4jaeGVfIwCDJh18eP1rciA,2QVOLeEA0x9EwgqWzDxVfC
Agua Verde,5:79,French Ghetto,Strawberry Girls,4CyxMgnF71FyOWADVWxJRE,1MBFybAUqGBfl5wROjwjvy
Suda,3:05,Grow,Chon,2JFljHPanIjYy2QqfNYvC0,3pYRPmrFNBhewVtiN6DBh7
Midnight Zone,4:18,Light We Made,Balance And Composure,2fgl3me4n9diODTrVfruF3,2uFG1dB1yhgnWNpovYYwHL
Horripilation,10:45,Stubborn Persistent Illusions,Do Make Say Think,1WudHeuEN3d18SXVos95mc,1wrLF6seLRorRM7Khq6RJX
Money,3:98,Twister,LEISURE,7b04D0yLktCUpvxQBhmG7R,1orHZz3MF65O74ulKq7Tmw
Long Wave,5:39,Longwave,Bonny Doon,0AL8XXRh7fUrHAMLoDv9rn,7uo0oJVjhuw0fIGltmSPcs
,0:0,,,0LyfQWJT6nXafLPZqxe9Of,2ngjCR9XbEisE74CRHfBMT
Bless Those Tired Eyes,3:87,Rest,Clem Leek,5FbBZ9ZLIoVdgbbnGmsKNk,0zR6lyMZuofipT1Mh4Glrn
Memory Lane,3:32,Spaces and Places,Henkel,1luwEMAkbRJ8aUfWEtFft4,2O0WMJlhzudstft0TlXECs
I Remember That,4:12,Spaces and Places,Henkel,1luwEMAkbRJ8aUfWEtFft4,2O0WMJlhzudstft0TlXECs
This Old House Is All I Have,3:65,2012 - 2017,Against All Logic,0ngUeF0DGpYmPec80MqSi1,1uzfGk9vxMXfaZ2avqwxod
Only 4 U,2:43,Only 4 U,Rivergazer,52P6A32vkkR3vm3fJXkqDI,35yGlW6auxkR1Ppb8HIZhK
Freeway Crush - Edit,5:59,Freeway Crush (Edit),Nutrition,7lAeHqMt2kZ5A81tT9767x,16scDYENMYuPFJ9amjBftA
Les Be Honest,4:22,Jassbusters,Connan Mockasin,247AfC9pLuqwgpH8Mo96oA,6bLo66qcIgfp3B7fHo96Nc
After 8,3:62,EP5,letherette,1fQDzf4lnUF4DYngrLJH0m,0AvT5Hc3cWJJ6FQWS8DODY
Unbearably White,4:67,Father of the Bride,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,1A3nVEWRJ8yvlPzawHI1pQ
Pure Imagination (Lo Fi),6:07,Pure Imagination (Lo Fi),Sam Gendel,3luuQQRuSBuDNnrkYvatnk,0ZjHEKzo5ExeKwRKDuWR4D
Old Fashioned,3:33,Old Fashioned,Bruno Major,0hDjKSKjl1DC7ovYTDJHe8,4hS6YtCIkN95pOeGLDsGI0
Nayhoo,2:85,Homey,"Chon, Masego, lophiile",2JFljHPanIjYy2QqfNYvC0,6KC06etxRkjUDzvfxU5sgA
Single File,5:16,Ghost City,Delta Sleep,05MlomiA9La0OiNIAGqECk,63PgGSb6ZkwPVfMZVOhObO
After Dark,4:73,Ghost City,Delta Sleep,05MlomiA9La0OiNIAGqECk,63PgGSb6ZkwPVfMZVOhObO
Motion Sickness,3:83,Stranger in the Alps,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,0AkAmg94XyiHODJaiGHh9O
Heft,3:63,Psychopomp,Japanese Breakfast,7MoIc5s9KXolCBH1fy9kkw,3i7EHinpu9J5MXKMzjpjZ0
You Feeling Alright,5:6,Sunday,HNNY,6Yae9Ia1nq6JLLojBzwN1r,4VTOytGXwnkNkggIND58d8
Lil Thing,3:46,Paradise,Knox Fortune,49O0SPoCoTiK2Nn2tOaHyU,0yCW3blpXzA0owDGQVQ5xY
Little of Your Love,3:56,Something to Tell You,HAIM,4Ui2kfOqGujY81UcPrb5KE,5m9rXTBF7mHFGQlFsiEHrY
19 Hours,3:57,Too Real,"Giraffage, Harrison Lipton",4kubsO16bEfCADaVUyoYb6,2i0WQgxSckOe7XEF1XtiCz
Jupiter Jazz,1:87,Blossoms,"SwuM, Jinsang",2Fc1UZXKRmPpWWx1sxcb9m,5ZoWbqiM2FnwVoOMGcJvGw
Jean Jackets & Feelings,2:8,Jean Jackets & Feelings,Lo'fi Boy,30zqizQHom62N4hV28E1Hz,4Psisc3X0VEMC3jrmPGfCI
p r e t t y,4:41,ep unknown,"eevee, Brothel",4pwqNyMSvuv7VOhQBdjB6Q,11bwa5iAPfUpCeaFXieGkD
Go,2:44,"""Let's Rock""",The Black Keys,7mnBLXK823vNxN3UWB7Gfz,0aA9rYw8PEv9G7tVIJ9dKg
Torture,2:67,Alright,Spooky Mansion,7BrrcOKe9ymT5md3Up7BRz,7Anaf6HgHbJt6oLlleusd6
Space In Space,4:49,Space In Space,Tiger Love,7KiP5unNTBPsNjKDbgW4kY,1hnywhb9TqKZgpnu6Yg1Lq
Million Miles Away,4:79,Mister Mellow,Washed Out,5juOkIIy18sFw9L30syt1Z,6vH2HRnhMGcKpefyjNwXeJ
Superposition,3:85,Mirror Master,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,6blMxezujKgPe8HjHNveuG
Runaway Girls,3:52,Runaway Girls,Uncle Acid & The Deadbeats,16PcI6JjJuUfPlsX8Ffvfl,2oNKOZ9hdvMvzTfgmifZh1
Aladdin,4:22,The Far Field,Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,5fhDKNsP4aDsSLjd4JLXrz
Labyrinth,4:02,Boo Boo,Toro y Moi,6O4EGCCb6DoIiR6B1QCQgp,39dY6cEFXDEevnfUTzp6lZ
Redbone,1:7,Redbone,Dontcry,3vzJueN7TkCtYpz1myVmDU,6lwBWMoBmU8rWn0433yyjT
Drop Top,1:81,Swum,SwuM,2Fc1UZXKRmPpWWx1sxcb9m,3kag2tLtqzJOol4OukMYIl
Blossom,2:09,Blossoms,"SwuM, Jinsang",2Fc1UZXKRmPpWWx1sxcb9m,5ZoWbqiM2FnwVoOMGcJvGw
The End,4:59,The End,Shlohmo,6y80I9YZi4DOpbaSUlL725,4vjDYT5nXgLn12luv3mGjZ
Ice Cream Party,6:17,Ice Cream Party,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,49YYXxYIS1wEEb71Hydbm5
Division,3:98,Epoch,Tycho,5oOhM2DFWab8XhSdQiITry,0GXI4iAc5FshqWgIlaNAXO
Adrift,6:04,Dive,Tycho,5oOhM2DFWab8XhSdQiITry,3I3PmRvn5iFY8i6zzvEcci
The Infamous Bill,4:18,The Infamous Bill,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,5hEpJAnE6SPm4CDnjGt3OL
Nobody Speak,3:27,The Mountain Will Fall,"DJ Shadow, Run The Jewels",5CE2IfdYZEQGIDsfiRm8SI,7jE9YhIA7xpxuTFGRDW6pB
Mr. Blue Sky,5:06,Out of the Blue,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,3usnShwygMXVZB4IV5dwnU
Fire On High,5:53,Face the Music,Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,1HSU8sXRI9HiEAHslHRFQ3
Sunny Sloth,3:2,Flowering Jungle,Monster Rally,3DtnSKmpjFGUzZcccWfG43,4ZooQ82Rp2ipWv67q5SeAn
A Warm Daydream (Bonus Track),3:33,What I Did Instead of Homework,Inner State 81,0PTnrHjEmqUdaEQlZB4WPS,03ciEtSvoHnhXmLBnR1vnN
Celebrating Mask,3:53,Lilac Lane,Febueder,3cvmzdKOmgBn7PrHkvnH0e,43kmO1kRWcuimY0BufNj0z
Yeah,2:4,High Times,Washed Out,5juOkIIy18sFw9L30syt1Z,3soyVic9SBUEM7d2d1xU2M
You Will Be Sad,1:3,High Times,Washed Out,5juOkIIy18sFw9L30syt1Z,3soyVic9SBUEM7d2d1xU2M
It's Kate's Birthday,2:26,High Times,Washed Out,5juOkIIy18sFw9L30syt1Z,3soyVic9SBUEM7d2d1xU2M
Luck,2:23,High Times,Washed Out,5juOkIIy18sFw9L30syt1Z,3soyVic9SBUEM7d2d1xU2M
Clap Intro,1:41,High Times,Washed Out,5juOkIIy18sFw9L30syt1Z,3soyVic9SBUEM7d2d1xU2M
Good Luck,1:26,High Times,Washed Out,5juOkIIy18sFw9L30syt1Z,3soyVic9SBUEM7d2d1xU2M
Cougars,3:31,Quantum Leap,Dumbo Gets Mad,530iy3GzOTqWe9LEeiZuDO,1sH5bkdJE0sq03jnNOFrdf
Tahiti Hungry Jungle,3:86,Quantum Leap,Dumbo Gets Mad,530iy3GzOTqWe9LEeiZuDO,1sH5bkdJE0sq03jnNOFrdf
Radical Leap,3:58,Quantum Leap,Dumbo Gets Mad,530iy3GzOTqWe9LEeiZuDO,1sH5bkdJE0sq03jnNOFrdf
American Day,3:94,Quantum Leap,Dumbo Gets Mad,530iy3GzOTqWe9LEeiZuDO,1sH5bkdJE0sq03jnNOFrdf
Yesterday Is Forever,3:09,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
True Stories,1:95,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
Soul Eater,3:21,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
Ultraviolet Chandelier,2:13,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
Into the Spiritual,3:09,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
What If,2:84,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
Sick Boy,3:12,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
God City,2:02,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
Painkillers,3:47,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
Queen Persephone,3:97,Basement Seance,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,12bhtPIhHIGYVi4eSQPI9s
The Big Unknown,5:06,Elder Island,Elder Island,3EnbnmqrrvApHJs6FMvYik,5wyOoFvt08gMtEsiG42iPZ
Season,4:22,Elder Island,Elder Island,3EnbnmqrrvApHJs6FMvYik,5wyOoFvt08gMtEsiG42iPZ
Feel It Still - Medasin Remix,3:24,Feel It Still (The Remixes),"Portugal. The Man, Medasin",4kI8Ie27vjvonwaB2ePh8T,6wK4nx3a3x32QVfFohfjl1
Another You (feat. Ruckazoid),3:37,Another You,"Breakbot, Ruckazoid",0iui2Be5CP8EWxvHYsVspL,0wtdAimXQjopnWBxnQT1lI
Out of Sight,5:0,Out of Sight,"Les Loups, Moona",3U6FqAuXdKYRrGUIyv9MWa,2sEc7tXBhHhz5OstTTvgGD
Don't Matter,5:14,Don't Matter,"Cherokee, Darianna Everett",6xmvWip8eqRc5jqv2bHg9j,18ebklLtHhzG3thyu1iXmv
I'll Get You (feat. Jeppe),4:0,Hanging Gardens,"Classixx, Jeppe",0vUTfcBDZZo2OUQJci5UNZ,0FjFTuRuTLhpjTKl1Rb2Cf
All You're Waiting For (feat. Nancy Whang),4:29,Hanging Gardens,"Classixx, Nancy Whang",0vUTfcBDZZo2OUQJci5UNZ,0FjFTuRuTLhpjTKl1Rb2Cf
I'm a Kid,3:44,Melt Away,Jadu Heart,7vjRpVXoecwKTEsrb9iscj,4aakJBO52AmbAK0sMy8blA
Walk Away,4:31,Gallows,DRAMA,7LvvNoUPwTZpgXDWBRrfHg,744MtN08OGTISO8JUtHk7L
My Trigger,3:21,iii,Miike Snow,4l1cKWYW591xnwEGxpUg3J,3pWJFrSX6apPzt4inM4zXt
If We Were Older,4:86,Blackout EP,The Gloomies,6IZyBaB8s1xUK63Ltp9h0b,2IA9IA9E24t1X4lgREBYvs
Emergency,5:03,Ultra Ego,Feed Me Jack,2eBmUbHKMQCAdD824cSiIL,331r6SmaeiJQ4NBtMDSxh3
Audio Pono,4:78,Ultra Ego,Feed Me Jack,2eBmUbHKMQCAdD824cSiIL,331r6SmaeiJQ4NBtMDSxh3
Outta My System - Washed Out Remix,4:99,Outta My System: Remixez Y Friendz,My Morning Jacket,43O3c6wewpzPKwVaGEEtBM,5dUzKhXN1fyKqGurLJqpKX
Crying on the Subway,2:74,How Many Times Have You Driven By,Hana Vu,3diDUq8QMCCtx8a4Jy42aO,73NTEwHNdFDSEhiJAuS1K2
DO THE ASTRAL PLANE,7:95,LOVEPLAYDANCE,TOSHIO MATSUURA GROUP,1BMpbT4eEAJreNQKAdPBiH,7Hb6QxFI4ahWMX7Cd9evuo
Foreign Affair,2:64,Apollonia,Garden City Movement,3HrczLBDJXJu6dJWEMbKHa,5HFw44c3URCTNzgCAM47wu
City Kitty,3:6,City Kitty,French Cassettes,0VcpOwnjkQaqDeEiVa9cu5,3dNUFNvSOl0cg9B2FgpGER
Ride,3:39,Ride,Soft Streak,7zcXUc2JyOmByvlz0dlWwL,2AtA94n1ReDjSENSAjiokK
Over the Rainbow,3:43,Blac Rabbit,Blac Rabbit,0UvgR4VckgdEkBhTOjxwCc,04xKU1FY0ywYddJBe6N7ll
On It Maestro,4:21,Shape The Future,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0,0xw9YPHKR11AuWKzjLdiFW
Satellite City,6:63,Satellite City,"KIMOCK, Steve Kimock",7eME2fgIVZmhOtuBTS37Hf,5cqpnKnkUUiiXrpeFWE6qY
Magazin,3:65,Performance,White Denim,0RdRumkn2UydUjqytNJ2Cp,3jGzrViFQlZQsw2xxaWn1s
Cruise,6:97,Extended,YOUR SONG IS GOOD,4Yt6N4u5vIpjRhT2O7zsLk,1moSLqBI1TjQeWI8pK3S9e
Coffin in the Clouds,3:85,The Melody of Dust,Hot Sugar,5doDInHCvRMOOapyaos2AE,16CaapIUPcvLBPQuLtdGsY
Wasted Acres,2:87,Painted Ruins,Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4,3QOXA8bqsml8CslUdgHXrW
Famous Last Words,5:43,Famous Last Words,True Loves,1IlKHxSbOJDx10sotxhk4Z,4SMup5GbFu0WRu7LUm7s6T
Superfast Jellyfish (feat. Gruff Rhys and De La Soul),2:91,Plastic Beach,"Gorillaz, Gruff Rhys, De La Soul, Dave Jolicoeur, Kelvin Mercer, Vincent Mason",3AA28KZvwAUcZuOKwyblJQ,2dIGnmEIy1WZIcZCFSj6i8
Rude Boy,3:34,Mr Twin Sister,Mr Twin Sister,5ltJZgIW3OkY5WvuzX5MYz,65PiA4pb8RyCLOzwjsqP3X
"Past, Present & Future - Intro",1:0,Origin,Vanilla,7pnSUizGuS2tAW2yCAhafn,6J7xW1IJiJ82bSVsEWVCCY
Tracy Had a Hard Day Sunday,4:8,Suburban Light (Remastered),The Clientele,3xZBpeXHkSjTKQIR1OeKN0,11OEcFLn2ljJctJ38XQcnK
Loving You,8:52,Rare Birds,Jonathan Wilson,6KJIIOCWsWtNc7ICINtPEw,7Bvy3m6GXqlsO3K0S8fOFl
Aquamarine,4:94,Frames Per Second,Lotus ,1a4N2lwra7WGjwCDJS1Dkk,6mBdD6yYLWGmS7S1bUTf8a
Coconut Kiss,4:35,Everybody's Heart Is Broken Now (Deluxe Version),Niki & The Dove,4hiLNlqr4vQdiuo1aQKSXS,6HbYtZs3AbTQctZ0FGrI6B
Money Trees,6:45,"good kid, m.A.A.d city","Kendrick Lamar, Jay Rock",2YZyLoL8N0Wb9xBt1NhZWg,6PBZN8cbwkqm1ERj2BGXJ1
Swept Away,4:0,Origin,Vanilla,7pnSUizGuS2tAW2yCAhafn,6J7xW1IJiJ82bSVsEWVCCY
Highway Hustle,3:58,Road to Knowhere,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,5XNcBTBDka0LqtQ7FYJlVh
White Sands,3:0,Road to Knowhere,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,5XNcBTBDka0LqtQ7FYJlVh
El camino negro,5:15,Road to Knowhere,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,5XNcBTBDka0LqtQ7FYJlVh
Unwind,3:35,All Talk!,Tim Atlas,3CiuXDKttPUT0tWGHicFUH,6ftm3LlwnabgJYaoydggNP
Highway Hustle,3:59,The Endless Road,Tommy Guerrero,5qnkHpjyS6CUxH1UUy82B7,7ebWD6kz8YeKfmJxIEzgyS
Let It Happen,2:88,Let It Happen,Jon Bap,7LOW1cB3NuRxZsxIo7g05p,64CdM3XGmjQQrLAgPGtYBL
Awake to You,4:96,Place In My Heart EP,Taylor McFerrin,0yLmsf6RBPYqm6hvFJCPg6,5d6wqrn0Tc0vDM5Tm9X8rF
Gasoline & Mirrors,5:73,A Mineral Love,"Bibio, Wax Stag",0qzzGu8qpbXYpzgV52wOFT,47riSLCeFOffFRi9BZ2eig
No Quit,3:23,No Quit,Michael Nau,1VfgWum48nwYJcCfdPwWgs,3If5SivukLSxu4S7DCWbOd
Me and Michael - OMMA Remix,5:06,Me and Michael (OMMA Remix),"MGMT, OMMA",0SwO7SWeDHJijQ3XNS7xEE,1Jl15UxIs9r2aPEezCLH3e
Water Me Down,4:54,Vagabon,Vagabon,17mwzDXKn4ra9cuxXaptwp,2AijQUrTqAETyjMaKxu4Xh
Hazeldene,4:1,Hazeldene,Royal Yellow,0i80gwfdEs2H5YGtm68uwy,1TxZj79BDHi71GuLFhvToh
Kumasi Walk,4:7,Ikebe Shakedown,Ikebe Shakedown,5ABBZoXY5r0UL1txACjinb,2BE7s2oZtXLD8BR19wgukl
So Beguiled,3:69,Entropicalia,The Soundcarriers,1RKPwhhogIthYoS8obEv65,5UO7jNOBS3Xb0UAGHQGq1l
Jamz,3:5,SALES LP,SALES,6vVztIuqdDHvYWxOEXCzjN,7ywSMs3G2OWOGVKMqc7KsE
Changes,4:11,25th Street Sessions,"Antonio Williams, Kerry McCoy",4OdKVXxhqKvBH0rNyv5hn0,15IptXkUnTozDs3Mjdk9bl
You Were Bigger Than Life,6:44,Continuum,Shook,3JKd43oYlE7ifoodXetsuw,1qiiNH9aM4NbgRaH725TWr
Dripping Sun,7:83,Masana Temples,Kikagaku Moyo,0hrb5WRiNlj8vh3WnCgXFq,5g5l9entA4bTztfpLJd1kS
Waste,3:43,Torches,Foster The People,7gP3bB2nilZXLfPHJhMdvc,7Kmmw7Z5D2UD5MVwdm10sT
Digital Love,5:02,Discovery,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,2noRn2Aes5aoNVsU6iWThc
Blackberry Light,3:65,Blackberry Light,Charlie Mars,6opelqBLUDZCLeuRCjt6AL,4BiPU2ztbJIKrFhZSxfVgb
Let the Meter Run,3:66,Blackberry Light,Charlie Mars,6opelqBLUDZCLeuRCjt6AL,4BiPU2ztbJIKrFhZSxfVgb
Pacific Oceans,4:76,Blackberry Light,Charlie Mars,6opelqBLUDZCLeuRCjt6AL,4BiPU2ztbJIKrFhZSxfVgb
Demon Days,4:47,Demon Days,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT
Don't Get Lost in Heaven,2:2,Demon Days,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT
Kids with Guns,3:76,Demon Days,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT
O Green World,4:58,Demon Days,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0bUTHlWbkSQysoM3VsWldT
Cigarettes & Loneliness,7:83,Built On Glass,Chet Faker,6UcJxoeHWWWyT5HZP064om,6DwdzG4UGYLxJ2p7bd483v
Helena Beat,4:6,Torches,Foster The People,7gP3bB2nilZXLfPHJhMdvc,7Kmmw7Z5D2UD5MVwdm10sT
Almost There,3:94,Spectrum,Shook,3JKd43oYlE7ifoodXetsuw,37kg8ppSvrlXOR88u2fvNB
Milestones,8:44,Spectrum,Shook,3JKd43oYlE7ifoodXetsuw,37kg8ppSvrlXOR88u2fvNB
We Stayed Up All Night,4:43,We Stayed Up All Night,"Tourist, Ardyn",2ABBMkcUeM9hdpimo86mo6,5hfM440MwTIhPLuXd8Y1tC
Egypt,4:36,Egypt,KYANOS,3cUDiKFw3eDH0KnAoJBPGD,31ZG86kVsR9TpKp80LaBLc
Marion,4:49,Gravity Pairs,Beacon,3sb3yLRnhW2L2ulU93eKfl,1lr7d0CxsNMzVqp3aXbDV0
Hammered,2:51,Ponderosa,Richard In Your Mind,0C265GO9bFApbZLSMltWOB,6c8zXkxSbFpMMjuKSQS2S2
Loved Ones (Saudades),5:13,Loved Ones (Saudades),Armando Young,1f1CocvNRSmgLgtqMsA0AR,4jM2quBG7ee8fLZrhRWqUC
U & Me,3:74,U & Me,Yangze,41ZgBrHYJcdi3LEiZX1RMt,3zxijoPv4ZM5LzPfSzc1lj
Moon Rocks - 2005 Remaster,5:76,Speaking in Tongues (Deluxe Version),Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,4sLCQxMRfn3gAHrBNZtbTH
The Magician,3:9,Double Rainbow,Babe Rainbow,2UmG7WphL1CMN7mVWyhE7u,4TSttRtuEKwCk8q6QChmzW
You Lost Me There,6:05,Slide,George Clanton,1G5v3lpMz7TeoW0yGpRQHr,12Biup1Sq5hpHsX85gJPb2
Bicycle Ride,4:05,Bicycle Ride,Shook,3JKd43oYlE7ifoodXetsuw,1l5CmBvYoIJHs0eKhooWmc
Celebrate,3:77,Malibu,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,4VFG1DOuTeDMBjBLZT7hCK
Better,4:05,West End Coast,Young Gun Silver Fox,3qQloBz05T6e0rKubNCmjG,153LXaN8yMrflOv1gVd33c
"Make It Work (feat. Anderson .Paak, Asher Roth & Donnie Trumpet)",3:66,The Anderson .Paak EP,"Blended Babies, Anderson .Paak, Asher Roth, Donnie Trumpet",1hFXEoLCso0TI0QvWJdukg,1R1U1jFetkBOwuVxZgyocL
Déjàvu,8:53,Déjàvu,Matty,7K1kHQsB2m87TMVcDbZAfW,0vhTWEtT1LUdl5cxr5oACF
Loser,3:92,Mellow Gold,Beck,3vbKDsSS70ZX9D2OcvbZmS,0iIGP4Sxw3KR4OCFv2yvz8
We Are Water,6:23,T.E.T.I.O.S,Papadosio,22nCgEikczPLtGfDdpRroh,12mgqJM4wDnzQJvk1jRsfJ
The Sum,6:72,T.E.T.I.O.S,Papadosio,22nCgEikczPLtGfDdpRroh,12mgqJM4wDnzQJvk1jRsfJ
Hello,4:19,Can't Slow Down,Lionel Richie,3gMaNLQm7D9MornNILzdSl,3alZBOvPaK3hgMEEymw4Yr
"Rocket Man (I Think It's Going To Be A Long, Long Time)",4:69,Honky Chateau,Elton John,3PhoLpVuITZKcymswpck5b,2ei2X6ghPnw7YRwQtAH075
Threshold,2:29,Flux,Deca,0Up3H1s9ME6FivFcOz6qte,3vF9djgkwQNuutVXuz4MWn
Saturday,3:07,In Dub,Pachyman,515f4vsvg0JQWrmt7qpR6l,6xCqlLnuU7wCkWGsg4KtiI
Big & Easy,3:57,In Dub,Pachyman,515f4vsvg0JQWrmt7qpR6l,6xCqlLnuU7wCkWGsg4KtiI
Dreams - 2004 Remaster,4:3,Rumours (Super Deluxe),Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,0BwWUstDMUbgq2NYONRqlu
Old Bone - Jim-E Stack Remix,3:46,Old Bone (Jim-E Stack Remix),"Wet, Jim-E Stack",2i9uaNzfUtuApAjEf1omV8,0N4gagOhj0I1XT9jLwKV6t
Soothsayer,3:84,Soothsayer,Brave Baby,0W19TxxAkzwDekDogxjguh,6AZWnBWWSOtAF7Ts2e7dFO
True Love (feat. Mi Amor),3:6,Selfie,Bru Lei,5zmcLPxcMiaN100jSajcgp,7HwYElCumbmWtIAhjFQTkG
Lemurian Promenade,3:96,Lemurian Promenade,Shane Tyler,05hDnhvWwtQKibC73ksjQS,0GVRN6mAUoizZ1zSozX9wY
Chains of Love,3:19,"Yours, Dreamily,",The Arcs,3mVWMgLc7bcyCBtL2ymZwK,7GcnWeopUkyCwFFEt6RrsA
